time,ax,ay,az
53.824,-4.04,4.51,3.60
53.826,-4.37,4.14,3.39
53.844,-4.34,3.51,2.80
53.846,-4.08,2.91,2.51
53.863,-4.31,3.02,2.11
53.865,-4.62,3.63,1.07
53.883,-4.41,3.19,0.28
53.885,-3.27,1.30,0.42
53.894,-2.21,0.73,0.73
53.895,-0.95,0.59,1.11
53.926,0.66,0.33,1.46
53.928,1.50,-0.19,2.27
53.946,1.39,-1.16,3.41
53.947,1.04,-0.67,4.23
53.976,0.35,-0.28,4.30
53.977,-0.85,-0.55,3.54
53.987,-2.45,-1.16,2.88
53.990,-3.38,-1.11,2.13
54.007,-3.60,-1.07,1.07
54.009,-3.23,-1.09,-0.36
54.026,-2.78,-2.19,-0.38
54.028,-2.62,-2.82,1.02
54.036,-2.82,-3.02,1.93
54.038,-3.01,-3.09,2.30
54.066,-3.21,-3.12,2.16
54.067,-3.40,-2.72,2.11
54.085,-3.64,-2.16,1.63
54.087,-3.64,-2.16,1.63
54.095,-4.17,-1.88,0.52
54.097,-4.06,-1.65,0.59
54.115,-3.73,-1.45,0.38
54.127,-1.36,-1.40,0.79
54.128,0.02,-1.66,0.01
54.157,1.54,-1.12,-1.37
54.158,2.78,-0.71,-1.96
54.167,3.56,-0.11,-2.02
54.171,3.70,0.04,-2.05
54.191,5.58,0.97,1.04
54.193,6.60,-2.65,-0.56
54.210,7.52,-3.43,-3.16
54.211,6.40,-4.04,-5.26
54.229,6.05,-4.72,-5.97
54.230,5.77,-4.80,-3.97
54.250,5.76,-4.52,-1.03
54.252,4.90,-3.99,1.47
54.271,4.38,-4.04,2.74
54.272,3.82,-4.22,2.18
54.300,3.00,-2.40,0.50
54.302,2.36,-0.02,-2.54
54.310,-0.31,2.20,-0.62
54.311,-1.03,2.58,-1.41
54.331,-1.44,3.73,-0.33
54.332,-1.30,4.40,-1.76
54.350,-1.97,6.44,-2.19
54.351,-1.74,6.99,-2.18
54.369,-1.61,6.64,-2.24
54.379,-1.51,6.30,-2.73
54.380,-1.32,6.00,-2.61
54.400,0.06,7.34,-2.40
54.403,0.02,7.25,-2.43
54.426,0.91,6.96,-2.79
54.427,1.74,6.12,-3.56
54.439,1.72,5.36,-3.74
54.449,3.56,5.35,-2.33
54.451,3.37,4.61,-2.26
54.470,3.43,3.92,-1.91
54.471,3.54,3.25,-1.89
54.500,3.10,2.98,-1.65
54.503,2.18,2.60,-1.55
54.510,0.95,2.44,-0.90
54.512,-0.04,2.55,0.22
54.529,-0.39,2.64,1.34
54.530,-0.74,1.98,2.41
54.550,-2.42,-0.51,3.85
54.551,-4.02,-4.21,6.51
54.570,-5.09,-8.08,8.93
54.571,-4.93,-9.58,9.16
54.599,-5.31,-11.55,9.47
54.600,-5.15,-12.25,7.95
54.609,-5.73,-10.00,8.07
54.610,-6.68,-7.42,4.90
54.630,-6.36,-4.07,3.14
54.630,-5.39,-0.83,3.51
54.652,-5.71,2.33,3.64
54.654,-5.89,5.02,1.77
54.670,-2.38,7.53,-2.59
54.672,8.53,7.12,-4.50
54.701,13.10,0.64,-4.37
54.704,7.17,-11.91,-6.61
54.711,6.53,-21.53,-11.57
54.714,7.91,-27.21,-5.06
54.733,5.34,-13.16,-1.33
54.734,3.88,3.72,-3.83
54.750,3.73,4.01,-3.58
54.762,5.01,6.71,-2.27
54.765,0.71,5.87,-10.13
54.784,-0.24,4.74,-10.61
54.785,0.51,2.64,-6.76
54.806,1.44,1.59,-2.20
54.808,1.52,1.98,-0.61
54.818,1.39,2.80,-1.16
54.819,0.82,2.96,-0.63
54.836,-0.43,2.75,-0.75
54.837,-2.12,3.17,0.21
54.856,-3.11,3.43,1.62
54.857,-3.88,3.73,4.17
54.877,-3.01,4.06,5.19
54.878,-2.74,4.38,5.36
54.907,-3.12,4.29,4.26
54.908,-4.20,3.47,2.98
54.927,-4.27,2.24,2.15
54.928,-4.04,2.19,1.50
54.936,-3.92,2.80,1.11
54.938,-3.27,2.21,1.11
54.956,-2.39,0.85,1.01
54.957,-1.32,0.69,1.16
54.988,0.10,0.57,1.34
54.990,1.19,0.85,1.32
55.008,2.02,0.53,1.17
55.010,2.22,0.25,1.66
55.025,1.78,0.03,2.40
55.030,0.93,0.64,2.73
55.047,-0.34,0.64,2.41
55.053,-1.58,0.46,1.70
55.057,-2.45,0.12,1.12
55.058,-3.14,-0.48,1.28
55.076,-3.43,-1.15,1.18
55.078,-3.56,-2.24,1.06
55.105,-3.68,-3.38,1.15
55.107,-4.37,-4.30,1.57
55.117,-4.57,-3.96,2.26
55.119,-4.31,-3.49,3.25
55.145,-3.61,-3.13,3.70
55.147,-2.97,-2.75,3.25
55.159,-3.01,-2.62,2.02
55.160,-3.34,-1.96,0.86
55.183,-3.46,-1.59,0.28
55.184,-2.69,-1.33,1.32
55.202,-1.79,-1.29,1.48
55.203,-0.77,-1.04,-0.01
55.212,0.19,-0.85,-1.20
55.213,1.73,-0.43,-0.76
55.232,2.90,0.28,-0.48
55.234,4.90,2.90,1.17
55.263,5.12,0.43,0.98
55.264,5.64,-2.59,-2.29
55.282,5.27,-5.37,-5.27
55.283,3.81,-5.95,-7.11
55.293,3.72,-5.10,-6.64
55.294,3.94,-3.55,-4.62
55.314,4.29,-3.20,-2.78
55.315,4.23,-3.43,0.65
55.333,4.52,-3.42,1.50
55.335,4.49,-4.16,2.78
55.352,4.51,-2.90,0.72
55.353,5.25,1.40,-2.27
55.382,2.89,2.98,-1.38
55.383,1.40,4.20,-0.66
55.392,1.72,4.81,-2.19
55.393,0.92,6.30,-4.25
55.414,0.66,6.54,-2.52
55.417,-0.20,5.81,-1.39
55.433,-0.50,5.29,-1.43
55.434,-1.07,4.89,-0.05
55.453,-0.85,5.68,-1.67
55.454,-1.01,6.01,-2.73
55.475,-0.11,5.73,-1.96
55.476,1.86,5.77,-1.68
55.494,2.89,5.21,-2.57
55.497,3.95,4.94,-2.93
55.524,3.83,4.87,-2.88
55.525,2.83,4.41,-2.81
55.534,1.52,3.92,-2.84
55.536,0.34,3.28,-2.47
55.553,-0.74,2.74,-1.58
55.555,-1.49,2.25,-0.18
55.573,-1.63,2.18,1.43
55.574,-1.89,2.28,3.00
55.593,-2.42,1.72,4.02
55.594,-2.88,0.92,4.34
55.622,-3.13,-0.10,4.52
55.624,-3.03,-1.43,5.04
55.632,-3.62,-2.89,5.94
55.634,-4.26,-4.22,6.10
55.654,-4.92,-5.19,4.93
55.656,-4.90,-5.93,3.91
55.673,-4.76,-6.37,3.97
55.674,-4.54,-6.00,3.55
55.693,-3.75,-4.84,2.69
55.694,-3.22,-2.98,2.41
55.714,-3.36,-0.82,2.04
55.716,-2.91,1.71,0.00
55.734,3.01,3.94,-2.36
55.735,13.97,2.06,-3.44
55.753,9.53,-11.54,0.54
55.754,5.65,-23.37,-8.36
55.773,7.11,-28.54,-7.70
55.774,6.21,-25.84,-2.89
55.803,0.55,0.37,-7.41
55.805,7.43,9.29,0.64
55.814,8.13,9.53,1.53
55.815,2.19,7.99,-7.50
55.834,-1.49,5.48,-12.04
55.836,-1.71,3.15,-9.99
55.852,-0.60,1.28,-5.46
55.853,-0.34,0.54,-2.21
55.873,-0.34,2.15,-1.06
55.874,-0.42,3.60,0.92
55.893,-2.07,3.06,2.78
55.894,-3.50,3.87,3.13
55.913,-4.02,4.27,3.23
55.914,-4.16,4.47,3.51
55.943,-3.86,4.12,3.43
55.944,-3.52,4.06,4.49
55.964,-3.87,4.37,4.43
55.966,-4.11,4.59,2.31
55.984,-3.88,4.17,1.66
55.985,-3.78,3.82,0.46
56.003,-4.14,3.49,-0.29
56.005,-3.47,2.88,0.03
56.024,-2.49,1.63,1.10
56.026,-1.47,0.14,1.57
56.049,-0.46,-0.43,1.77
56.050,0.89,-0.42,1.61
56.054,1.91,-0.18,1.87
56.055,1.92,-0.39,2.11
56.073,1.49,-0.87,2.22
56.074,1.05,-0.39,2.78
56.093,0.46,-0.33,2.88
56.094,-0.30,-0.49,2.81
56.112,-1.12,-0.83,2.30
56.113,-1.69,-1.25,2.00
56.132,-2.14,-1.80,1.88
56.134,-2.23,-2.37,1.78
56.152,-2.64,-2.93,1.70
56.154,-3.46,-2.97,2.00
56.172,-4.21,-2.86,2.22
56.174,-4.62,-2.17,1.68
56.202,-4.81,-1.50,1.12
56.203,-4.88,-1.01,0.46
56.212,-5.04,-0.76,0.38
56.213,-4.68,-0.91,1.10
56.233,-4.16,-1.06,1.41
56.234,-2.57,-1.26,2.03
56.263,-1.13,-1.39,1.14
56.265,-0.26,-1.57,-1.05
56.273,1.25,-0.68,-3.04
56.274,2.65,-0.06,-3.22
56.293,4.18,0.25,-1.66
56.294,5.99,2.40,0.10
56.313,5.69,-2.04,-0.96
56.314,5.93,-5.77,-2.21
56.335,6.29,-6.62,-3.66
56.337,5.74,-6.79,-5.45
56.355,6.00,-6.43,-5.69
56.359,6.55,-4.87,-4.18
56.374,6.47,-3.42,-1.01
56.375,5.57,-3.13,2.32
56.393,4.79,-3.47,3.81
56.394,4.58,-3.31,3.65
56.412,4.02,-0.69,2.10
56.413,3.65,2.85,-1.65
56.432,0.74,3.00,-2.01
56.433,-0.76,3.52,-2.39
56.452,-0.65,4.35,0.58
56.453,-1.23,4.93,-1.66
56.473,-2.66,6.09,-2.39
56.475,-1.97,5.77,-1.46
56.502,-1.25,6.78,-1.91
56.503,-2.51,6.23,-0.75
56.513,-2.23,5.89,-2.11
56.515,-2.01,6.75,-3.31
56.533,-1.30,7.30,-3.09
56.535,0.17,6.41,-3.26
56.554,2.16,5.42,-2.64
56.556,3.29,4.75,-2.37
56.584,4.28,4.25,-2.96
56.585,4.35,3.97,-2.91
56.607,3.73,3.31,-2.47
56.609,3.28,2.84,-2.41
56.624,2.78,2.34,-2.19
56.625,2.00,2.22,-1.31
56.644,0.91,2.13,-0.29
56.646,0.14,2.23,1.21
56.653,-0.58,2.64,2.37
56.656,-1.32,2.78,2.91
56.673,-2.27,1.70,3.30
56.675,-3.26,-0.21,4.34
56.692,-3.89,-2.61,6.05
56.694,-4.77,-5.43,6.90
56.712,-4.94,-8.02,6.49
56.714,-4.88,-10.69,5.72
56.732,-5.16,-12.23,5.65
56.733,-6.28,-12.41,6.55
56.766,-6.49,-8.93,4.81
56.767,-6.14,-4.19,3.10
56.776,-5.91,-0.25,3.58
56.777,-5.92,2.86,3.31
56.805,-0.88,5.19,-2.72
56.806,9.42,1.88,-5.42
56.817,6.86,-7.98,-1.14
56.820,5.32,-15.62,-7.70
56.837,8.44,-21.16,-11.85
56.838,9.72,-23.53,-2.50
56.857,7.11,-5.97,1.46
56.859,4.96,4.99,-0.08
56.877,5.55,6.88,-2.17
56.880,1.86,8.75,-7.06
56.907,0.83,8.09,-9.24
56.909,0.62,6.07,-7.61
56.927,1.10,5.40,-4.10
56.928,1.38,4.43,-2.42
56.937,0.90,4.04,-2.61
56.939,0.87,4.24,-0.91
56.959,1.09,2.92,1.07
56.960,-0.54,0.96,1.85
56.982,-2.93,1.62,1.45
56.983,-4.69,2.31,2.28
56.999,-5.08,3.09,2.77
57.000,-4.93,3.72,2.69
57.019,-4.81,4.01,2.75
57.020,-4.53,4.29,1.80
57.040,-4.79,3.69,1.31
57.045,-4.35,3.24,1.25
57.062,-3.78,3.45,0.69
57.064,-3.63,2.28,0.61
57.073,-2.73,0.70,0.80
57.074,-1.81,-0.18,1.90
57.102,-0.62,-0.09,2.63
57.103,0.66,0.35,3.13
57.122,1.63,0.70,3.09
57.123,1.49,0.41,3.17
57.143,0.85,0.53,2.81
57.144,0.29,0.74,2.18
57.152,-0.43,0.00,1.44
57.167,-0.64,-0.32,1.07
57.186,-0.87,-0.63,1.04
57.188,-0.88,-1.04,1.36
57.196,-0.99,-1.44,1.94
57.197,-1.49,-2.12,2.24
57.216,-2.43,-3.12,1.90
57.217,-3.52,-3.80,1.90
57.239,-4.42,-3.77,2.48
57.240,-5.31,-2.98,2.59
57.260,-5.74,-2.16,2.38
57.262,-5.82,-1.61,1.98
57.289,-5.69,-1.33,1.62
57.290,-5.43,-1.42,0.65
57.309,-3.84,-1.20,0.63
57.310,-3.41,-1.04,0.50
57.326,-0.29,-1.27,0.81
57.327,0.42,-1.17,-0.64
57.343,2.28,-0.49,-2.16
57.344,3.61,-0.25,-2.58
57.354,5.91,2.35,-1.39
57.355,5.91,2.35,-1.39
57.383,7.69,-2.72,-0.23
57.384,7.57,-5.06,-2.02
57.403,6.99,-6.77,-5.16
57.404,6.94,-8.42,-6.34
57.417,7.76,-7.82,-5.56
57.418,7.39,-6.12,-2.71
57.437,7.39,-6.12,-2.71
57.457,5.62,-3.54,3.48
57.458,4.83,-2.79,3.90
57.466,4.39,-2.54,3.66
57.478,3.97,2.82,-1.23
57.479,0.14,3.51,0.52
57.499,-0.07,3.44,0.50
57.510,-2.32,4.87,-0.90
57.512,-2.09,5.20,-2.20
57.530,-2.40,7.03,-1.95
57.531,-1.93,7.79,-1.70
57.550,-1.59,7.14,-0.33
57.551,-1.65,6.03,-1.50
57.570,-1.60,6.56,-1.91
57.572,-1.03,6.82,-2.64
57.583,-0.80,6.20,-2.66
57.602,-0.17,6.50,-4.12
57.603,1.64,6.60,-3.56
57.632,3.43,6.47,-3.19
57.633,3.45,5.52,-2.61
57.634,3.37,4.64,-2.76
57.653,2.06,4.15,-2.14
57.654,1.22,2.88,-1.65
57.663,1.22,2.88,-1.65
57.682,0.75,3.02,-1.74
57.684,-0.26,2.68,-0.84
57.693,-1.11,2.48,0.64
57.695,-1.29,2.19,0.76
57.723,-3.71,2.26,3.15
57.724,-4.72,0.36,4.23
57.732,-6.03,-1.61,6.17
57.753,-6.32,-5.82,9.03
57.754,-4.95,-8.30,9.67
57.755,-4.78,-7.89,9.30
57.787,-2.26,-11.46,8.71
57.789,-2.78,-11.49,7.59
57.793,-2.62,-10.85,6.97
57.807,-1.73,-3.90,3.05
57.808,-1.55,-0.05,2.83
57.823,-2.18,2.51,2.42
57.832,-1.17,4.37,1.55
57.843,3.61,2.60,-4.05
57.845,7.53,-4.43,-4.65
57.873,4.66,-15.59,-3.46
57.876,6.95,-22.10,-12.42
57.884,10.55,-21.76,-7.01
57.886,6.46,-4.97,-1.53
57.903,4.71,6.75,-5.26
57.913,5.99,8.70,-1.25
57.927,2.15,7.06,-5.67
57.929,-1.61,5.12,-11.02
57.947,-2.73,3.67,-11.55
57.949,-0.91,2.02,-9.45
57.977,0.92,0.35,-4.97
57.979,1.51,0.91,-2.69
57.996,1.15,0.74,-1.79
57.997,-0.75,2.19,1.99
57.998,-2.44,1.97,2.06
58.015,-3.39,2.47,1.92
58.017,-4.24,2.99,2.58
58.036,-4.18,3.64,3.45
58.037,-3.35,4.26,3.76
58.055,-3.44,4.50,3.58
58.057,-3.88,3.93,3.04
58.076,-3.57,3.61,3.23
58.077,-2.71,3.50,2.04
58.106,-2.71,3.38,1.29
58.107,-2.82,3.69,0.78
58.116,-2.42,3.28,0.77
58.117,-1.57,2.46,1.26
58.138,-0.80,1.40,1.06
58.140,-0.07,0.19,0.94
58.157,0.93,0.03,1.12
58.159,1.69,-0.19,1.83
58.177,2.03,-0.38,2.44
58.178,1.61,-0.44,2.78
58.197,0.33,-0.01,3.19
58.199,-0.80,0.18,3.04
58.217,-1.64,-0.10,2.64
58.218,-2.17,-0.19,2.09
58.236,-2.61,-0.78,1.54
58.238,-3.33,-1.04,1.40
58.258,-3.45,-1.74,1.06
58.260,-3.70,-2.97,1.35
58.277,-3.93,-3.83,1.96
58.279,-4.35,-3.68,2.23
58.297,-4.90,-3.08,2.18
58.299,-5.11,-2.38,1.91
58.326,-4.91,-1.77,1.71
58.327,-4.39,-1.85,1.63
58.337,-3.29,-2.03,1.70
58.339,-2.27,-1.75,1.80
58.355,-1.54,-1.79,2.24
58.357,-0.33,-1.25,1.90
58.376,0.12,-0.78,0.29
58.377,0.76,-0.35,-2.08
58.396,1.96,0.39,-2.82
58.397,3.53,3.17,-2.45
58.417,5.78,1.46,-0.49
58.418,6.34,-2.71,1.71
58.437,7.06,-3.58,-0.34
58.438,6.21,-4.41,-3.58
58.457,4.90,-5.78,-6.18
58.458,4.30,-5.64,-8.04
58.478,4.21,-4.84,-6.72
58.479,3.82,-3.43,-3.26
58.497,3.42,-2.55,0.27
58.498,2.77,-3.07,3.39
58.517,3.21,-3.59,4.34
58.525,2.69,-2.26,1.49
58.536,2.77,0.23,-1.89
58.537,1.57,1.60,-0.76
58.555,0.73,2.01,0.49
58.556,0.72,1.95,0.67
58.576,0.45,4.77,-2.07
58.577,-0.58,6.09,-2.94
58.596,-0.42,6.83,-1.87
58.598,0.59,6.94,-1.51
58.617,0.94,7.15,-2.20
58.619,-0.50,6.34,-2.01
58.647,-1.55,5.55,-2.18
58.648,0.13,7.21,-3.41
58.655,-0.21,6.68,-4.02
58.657,1.12,5.62,-2.31
58.675,1.05,4.88,-2.67
58.686,4.33,5.18,-1.95
58.687,4.02,4.98,-1.72
58.706,3.70,4.29,-1.54
58.717,2.97,3.47,-1.87
58.718,2.41,2.58,-1.88
58.737,1.35,2.07,-1.72
58.738,0.30,1.90,-0.91
58.756,0.10,1.56,-0.68
58.768,-0.99,2.44,1.46
58.770,-1.01,1.68,2.37
58.797,-1.69,-0.15,3.32
58.800,-1.80,-0.10,3.37
58.816,-6.62,-7.02,8.35
58.818,-7.34,-9.73,8.78
58.826,-6.76,-11.17,8.87
58.827,-5.85,-12.27,7.72
58.846,-3.89,-10.26,5.74
58.847,-3.75,-5.86,3.49
58.867,-4.97,-2.81,3.76
58.868,-3.71,1.36,3.24
58.887,-1.98,2.95,4.12
58.889,1.98,1.79,0.97
58.907,2.07,-3.23,-4.49
58.908,1.41,-12.16,-3.66
58.926,4.33,-17.53,-7.67
58.928,7.57,-16.57,-12.71
58.957,8.33,-6.75,-6.36
58.958,8.30,6.47,-1.14
58.966,10.21,7.65,0.28
58.967,7.95,6.90,-1.39
58.986,3.76,7.03,-8.97
58.987,1.40,5.21,-11.86
59.007,1.43,3.42,-10.32
59.008,1.78,1.15,-6.69
59.026,1.71,1.13,-3.31
59.031,2.03,2.28,-1.33
59.047,1.83,2.52,1.18
59.049,0.55,2.20,2.28
59.067,-1.29,1.80,0.38
59.069,-3.40,1.33,-0.36
59.087,-4.04,1.84,1.14
59.089,-5.12,2.16,3.13
59.107,-5.87,2.96,2.77
59.109,-5.71,3.32,2.49
59.127,-5.74,3.32,2.36
59.129,-5.42,3.46,1.71
59.147,-4.30,3.58,2.27
59.149,-3.52,3.81,1.76
59.166,-3.17,3.00,1.31
59.168,-2.60,2.01,1.79
59.187,-2.19,1.57,2.18
59.188,-1.63,1.09,1.96
59.206,-0.89,0.63,1.90
59.207,0.52,0.36,2.04
59.226,1.54,-0.38,2.76
59.227,1.90,-0.98,3.50
59.247,1.25,-1.07,3.59
59.248,0.68,-0.14,3.92
59.266,0.32,0.12,4.01
59.268,-0.64,-0.64,4.17
59.286,-2.29,-1.04,4.18
59.287,-3.77,-1.31,2.66
59.306,-4.05,-2.00,-0.18
59.307,-4.52,-2.36,-1.19
59.326,-4.59,-3.01,-0.67
59.328,-4.40,-2.71,0.43
59.346,-4.27,-1.84,1.25
59.348,-4.46,-1.52,1.29
59.366,-4.75,-1.58,1.13
59.367,-4.73,-2.29,0.98
59.386,-3.70,-2.00,1.10
59.387,-1.93,-1.50,1.24
59.407,-0.90,-1.45,1.49
59.408,-0.54,-0.95,0.94
59.426,-0.32,-0.02,-0.92
59.428,0.87,1.02,-2.70
59.446,2.80,1.74,-2.94
59.448,5.13,2.63,-0.75
59.466,7.86,2.70,2.51
59.468,6.71,-0.55,0.14
59.487,6.56,-2.35,-3.39
59.488,5.19,-5.36,-6.58
59.508,4.23,-7.18,-7.77
59.511,4.05,-8.36,-5.02
59.527,4.05,-8.36,-5.02
59.547,5.39,-6.74,-0.08
59.548,5.03,-4.52,1.60
59.559,4.89,-4.23,2.21
59.560,5.18,-3.87,2.41
59.576,5.18,-3.87,2.41
59.597,4.41,0.45,-2.08
59.598,3.58,1.86,-1.05
59.606,2.34,1.75,0.98
59.607,1.31,3.69,-0.71
59.626,0.54,4.86,-1.77
59.628,-1.96,5.38,-1.71
59.646,-1.96,5.21,-1.80
59.656,-1.57,6.12,-0.32
59.657,-1.42,5.97,-0.46
59.675,-1.59,6.39,-0.93
59.677,-1.31,6.34,-1.10
59.696,-1.12,5.90,-1.30
59.717,-1.02,5.84,-3.91
59.718,0.36,6.22,-4.39
59.727,1.67,5.21,-3.58
59.728,3.63,5.33,-3.18
59.747,3.89,4.95,-2.89
59.748,3.89,4.95,-2.89
59.766,3.30,4.04,-3.12
59.768,2.84,3.41,-3.11
59.786,2.29,3.12,-2.59
59.787,0.86,2.73,-1.36
59.807,0.00,2.55,-0.01
59.809,-1.43,2.25,1.84
59.827,-2.33,2.09,3.49
59.828,-2.71,0.51,4.25
59.848,-2.75,0.44,4.25
59.856,-5.73,-5.87,8.12
59.859,-5.98,-8.63,8.11
59.876,-5.54,-10.17,8.31
59.878,-4.74,-10.16,6.79
59.896,-4.42,-9.90,7.31
59.898,-4.42,-9.90,7.31
59.916,-5.59,-4.11,2.97
59.917,-5.25,-3.79,2.55
59.936,-5.46,1.86,3.90
59.937,-3.35,3.59,0.90
59.957,4.63,1.65,-3.86
59.958,6.18,-6.10,-1.32
59.977,4.64,-15.26,-2.76
59.979,4.85,-14.17,-2.80
59.996,10.12,-20.00,-6.94
59.997,7.99,-3.17,-3.46
60.017,7.57,8.15,-4.04
60.019,8.12,7.48,-1.23
60.040,4.58,4.71,-5.43
60.041,1.29,4.72,-10.53
60.060,0.12,4.43,-10.64
60.061,0.65,2.40,-8.01
60.080,1.36,1.18,-3.88
60.081,1.23,2.30,-1.44
60.099,1.26,2.68,0.71
60.100,0.06,2.54,1.95
60.119,-2.08,2.75,1.46
60.120,-3.13,2.79,0.81
60.140,-4.19,2.79,1.58
60.142,-4.52,3.09,1.88
60.159,-4.43,2.66,2.58
60.161,-4.30,2.47,2.76
60.180,-4.69,3.32,2.26
60.181,-4.21,3.22,2.23
60.200,-3.82,2.00,2.12
60.220,-2.84,3.64,0.43
60.222,-2.53,3.67,0.51
60.231,-1.63,2.39,0.12
60.234,-1.40,2.28,0.17
60.250,-0.58,0.01,1.68
60.252,0.01,-0.02,1.54
60.270,0.01,-0.02,1.54
60.279,1.36,-0.66,2.22
60.280,1.31,-0.89,2.80
60.299,0.70,-0.43,3.05
60.301,0.76,-0.49,3.04
60.319,-0.48,0.20,1.93
60.320,-0.51,0.12,1.89
60.339,-1.84,-1.02,2.29
60.340,-2.62,-1.64,3.23
60.359,-3.06,-2.09,2.87
60.360,-3.61,-2.63,1.80
60.379,-4.10,-3.04,0.57
60.380,-4.43,-3.13,0.68
60.400,-4.04,-2.81,0.83
60.401,-3.72,-1.75,0.99
60.420,-3.66,-1.40,1.11
60.423,-4.06,-1.68,0.91
60.440,-3.66,-1.74,1.47
60.441,-3.18,-1.49,1.94
60.460,-2.38,-1.26,2.17
60.461,-1.57,-1.04,1.34
60.481,-1.04,-0.55,-0.25
60.482,-0.19,0.20,-1.84
60.500,1.27,1.08,-1.80
60.501,3.64,1.12,-1.19
60.519,6.83,3.10,0.16
60.520,8.71,0.36,0.59
60.539,8.39,-2.73,-1.76
60.541,6.88,-4.60,-5.68
60.560,5.21,-6.47,-7.85
60.561,4.17,-7.90,-6.15
60.580,3.91,-7.33,-3.39
60.582,4.40,-6.08,-0.86
60.600,4.12,-4.56,0.53
60.601,3.69,-4.18,1.70
60.620,3.92,-3.99,0.76
60.621,3.33,-3.14,0.57
60.640,2.99,-0.57,-1.80
60.642,2.46,2.08,-1.53
60.663,0.55,3.15,0.59
60.664,0.00,4.09,0.91
60.683,-0.52,4.75,-0.43
60.685,-0.98,6.10,-2.88
60.699,-1.39,7.95,-3.38
60.700,-0.74,8.29,-2.45
60.721,0.10,7.71,-2.36
60.722,0.22,6.95,-1.59
60.743,0.06,6.68,-1.53
60.744,-0.30,6.77,-2.41
60.759,-1.16,6.24,-2.97
60.760,-0.60,5.33,-2.81
60.789,0.91,4.93,-2.41
60.791,2.18,4.83,-1.98
60.810,2.87,4.83,-1.93
60.811,3.28,5.31,-2.12
60.830,3.23,4.58,-1.90
60.831,2.10,2.89,-0.96
60.850,0.78,1.80,-0.97
60.851,-0.64,2.25,-0.66
60.860,-1.66,1.76,0.65
60.861,-1.60,0.93,2.71
60.879,-1.75,0.19,3.50
60.883,-2.04,1.59,4.00
60.916,-3.18,-2.90,7.05
60.917,-2.81,-5.03,9.39
60.922,-3.77,-8.45,7.21
60.924,-4.59,-12.09,8.04
60.942,-3.97,-12.14,6.53
60.950,-5.24,-11.50,5.02
60.963,-4.30,-9.94,6.03
60.964,-6.41,-6.08,3.73
60.982,-4.29,-1.38,3.12
60.984,-4.96,2.42,2.88
61.002,-3.53,3.38,4.00
61.005,-4.48,6.55,-3.27
61.033,4.79,5.32,-9.85
61.034,9.05,-1.19,-4.30
61.044,6.71,-9.05,-11.16
61.045,9.05,-14.96,-13.40
61.063,10.68,-18.23,-3.64
61.064,8.73,-12.32,6.69
61.088,5.96,-0.97,0.62
61.090,4.43,3.49,-1.87
61.102,1.46,4.43,-6.92
61.103,-0.93,5.81,-10.70
61.113,-0.40,5.59,-9.30
61.114,1.54,4.68,-5.46
61.138,2.48,3.31,-2.42
61.139,2.14,2.35,-1.94
61.155,1.11,1.35,-2.01
61.157,-0.11,0.66,-1.09
61.185,-1.09,0.34,0.48
61.187,-3.39,0.16,2.13
61.205,-4.47,0.95,3.16
61.207,-5.83,2.56,3.98
61.215,-6.42,4.35,4.24
61.217,-6.62,4.68,4.69
61.246,-6.56,4.79,3.66
61.248,-5.70,5.28,2.47
61.258,-3.90,5.42,1.48
61.279,-2.75,3.79,1.09
61.289,-1.67,2.14,0.62
61.291,-0.62,1.05,0.92
61.297,0.14,1.12,1.44
61.300,0.37,0.86,1.29
61.316,1.08,1.32,2.12
61.317,1.65,1.70,2.10
61.348,1.42,1.75,2.14
61.349,1.04,1.96,2.17
61.369,0.21,1.24,1.87
61.370,-0.42,0.07,1.28
61.377,-1.03,-0.34,1.16
61.378,-1.27,-0.95,1.30
61.397,-1.50,-1.93,1.67
61.398,-1.97,-3.07,2.03
61.417,-2.67,-3.56,1.69
61.418,-3.00,-3.77,1.41
61.437,-1.75,-3.59,0.61
61.438,-4.10,-4.89,2.11
61.457,-3.02,-0.87,1.66
61.459,-3.36,-1.74,1.28
61.476,-3.59,-3.23,0.91
61.484,-2.48,-3.20,1.11
61.511,-1.18,-3.45,1.40
61.521,-0.84,-3.19,1.62
61.628,-0.95,-2.17,1.40
61.633,-1.22,-1.17,1.13
61.635,-1.70,-0.63,0.57
61.636,-1.25,0.65,-0.31
61.638,0.14,1.31,-1.23
61.640,1.70,1.35,-1.52
61.647,2.96,2.22,-1.03
61.650,4.24,2.28,1.28
61.651,4.36,0.07,1.83
61.652,4.38,-1.48,-0.58
61.654,4.98,-4.51,-3.14
61.655,4.27,-5.44,-5.69
61.656,4.55,-5.09,-6.85
61.658,4.03,-3.98,-5.99
61.670,3.58,-2.61,-3.02
61.671,3.43,-1.84,-0.81
61.680,2.58,-2.18,0.79
61.681,3.53,-2.90,2.75
61.699,4.32,-3.43,2.15
61.700,4.05,-2.15,-1.17
61.719,3.11,0.95,-2.84
61.720,-0.62,0.33,-0.41
61.739,-1.54,2.15,0.30
61.740,-1.93,2.33,-1.13
61.759,-2.29,4.09,-1.18
61.760,-1.74,4.38,-1.71
61.780,0.45,6.00,-3.18
61.781,0.93,8.55,-2.44
61.800,0.68,8.60,-2.00
61.801,0.55,7.68,-0.95
61.819,0.21,7.38,-0.89
61.820,0.43,6.33,-2.15
61.840,1.36,5.42,-2.30
